,lon,lat,properties
8218,-73.968218,40.67945,green-11
8219,-73.968201,40.679497,green-11
8220,-73.967981,40.680122,green-11
8221,-73.967956,40.68019,green-11
8222,-73.967823,40.680162,green-11
8223,-73.965501,40.679677,green-11
8224,-73.965157,40.679605,green-11
8225,-73.965067,40.679586,green-11
8226,-73.964971,40.679566,green-11
8227,-73.964205,40.679407,green-11
8228,-73.964073,40.679379,green-11
8229,-73.964091,40.679459,green-11
8230,-73.964147,40.67976,green-11
8231,-73.964222,40.68016,green-11
8232,-73.964236,40.680236,green-11
8233,-73.964249,40.680303,green-11
8234,-73.964312,40.680584,green-11
8235,-73.964381,40.680957,green-11
8236,-73.964394,40.68105,green-11
8237,-73.964414,40.681192,green-11
8238,-73.964427,40.681282,green-11
8239,-73.964432,40.681311,green-11
8240,-73.964437,40.681341,green-11
8241,-73.964529,40.681783,green-11
8242,-73.964656,40.682423,green-11
8243,-73.964762,40.682953,green-11
8244,-73.964779,40.68304,green-11
8245,-73.964673,40.683018,green-11
8246,-73.964414,40.682964,green-11
8247,-73.963769,40.682828,green-11
8248,-73.963664,40.682807,green-11
8249,-73.963562,40.682786,green-11
8250,-73.962645,40.682594,green-11
8251,-73.962423,40.682547,green-11
8252,-73.962233,40.682507,green-11
8253,-73.961838,40.682423,green-11
8254,-73.961708,40.682395,green-11
8255,-73.961611,40.682375,green-11
8256,-73.961516,40.682356,green-11
8257,-73.960595,40.682162,green-11
8258,-73.959595,40.681953,green-11
8259,-73.959007,40.681831,green-11
8260,-73.958693,40.681765,green-11
8261,-73.958586,40.681743,green-11
8262,-73.958488,40.681722,green-11
8263,-73.958067,40.681633,green-11
8264,-73.957351,40.681483,green-11
8265,-73.956151,40.68123,green-11
8266,-73.955854,40.681167,green-11
8267,-73.955816,40.681159,green-11
8268,-73.955752,40.681146,green-11
8269,-73.955661,40.681127,green-11
8270,-73.955565,40.681106,green-11
8271,-73.955299,40.68105,green-11
8272,-73.954404,40.680862,green-11
8273,-73.953852,40.680742,green-11
8274,-73.953498,40.680665,green-11
8275,-73.953369,40.680637,green-11
8276,-73.953243,40.68061,green-11
8277,-73.9528,40.680575,green-11
8278,-73.951298,40.680484,green-11
8279,-73.951186,40.680478,green-11
8280,-73.951113,40.680474,green-11
8281,-73.950546,40.680443,green-11
8282,-73.950546,40.680443,green-11
8283,-73.950546,40.680443,green-11
8284,-73.950546,40.680443,green-11
8285,-73.950546,40.680443,green-11
8286,-73.950546,40.680443,green-11
8287,-73.950242,40.680427,green-11
8288,-73.949665,40.680395,green-11
8289,-73.949555,40.680391,green-11
8290,-73.949452,40.680384,green-11
8291,-73.948838,40.680351,green-11
8292,-73.947731,40.680292,green-11
8293,-73.947239,40.680266,green-11
8294,-73.946849,40.680245,green-11
8295,-73.946749,40.68024,green-11
8296,-73.946345,40.680215,green-11
8297,-73.946244,40.68021,green-11
8298,-73.945687,40.68018,green-11
8299,-73.944133,40.680097,green-11
8300,-73.944072,40.680093,green-11
8301,-73.943973,40.680088,green-11
8302,-73.943406,40.680056,green-11
8303,-73.943261,40.680048,green-11
8304,-73.943175,40.680044,green-11
8305,-73.943097,40.680039,green-11
8306,-73.942145,40.679988,green-11
8307,-73.941416,40.679949,green-11
8308,-73.941301,40.679943,green-11
8309,-73.941209,40.679938,green-11
8310,-73.941115,40.679933,green-11
8311,-73.941049,40.679929,green-11
8312,-73.940445,40.679895,green-11
8313,-73.940333999,40.679889,green-11
8314,-73.940249,40.679885,green-11
8315,-73.939887,40.679865,green-11
8316,-73.939655,40.679852,green-11
8317,-73.939641,40.679851,green-11
8318,-73.938542,40.679792,green-11
8319,-73.938437,40.679786,green-11
8320,-73.938444,40.679703,green-11
8321,-73.938469,40.679435,green-11
8322,-73.938475,40.679381,green-11
8323,-73.9385,40.679116,green-11
8324,-73.938508,40.679031,green-11
8325,-73.938408,40.679025,green-11
8326,-73.938064,40.679007,green-11
8327,-73.937308,40.678966,green-11
8328,-73.93661,40.678928,green-11
8329,-73.935744,40.67888,green-11
8330,-73.935584,40.678872,green-11
8331,-73.935493,40.678867,green-11
8332,-73.934851,40.678832,green-11
8333,-73.934784,40.678828,green-11
8334,-73.934623,40.678819,green-11
8335,-73.933895,40.678779,green-11
8336,-73.933382,40.678752,green-11
8337,-73.933382,40.678752,green-11
8338,-73.933106,40.678737,green-11
8339,-73.933062,40.678734,green-11
8340,-73.932969,40.678729,green-11
8341,-73.932977,40.678628,green-11
8342,-73.933,40.678363,green-11
8343,-73.933054,40.677712,green-11
8344,-73.93306,40.677646,green-11
8345,-73.93307,40.677561,green-11
8346,-73.933081,40.677474,green-11
8347,-73.932997,40.67747,green-11
8348,-73.932656,40.677453,green-11
8349,-73.932355,40.677521,green-11
8350,-73.931329,40.677468,green-11
8351,-73.930424,40.677417,green-11
8352,-73.930303,40.67741,green-11
8353,-73.930296,40.677496,green-11
8354,-73.930292,40.677558,green-11
8355,-73.930275,40.677699,green-11
8356,-73.930244,40.6779,green-11
8357,-73.930199,40.678026,green-11
8358,-73.930126,40.678165,green-11
8359,-73.930043,40.678291,green-11
8360,-73.929926,40.678434,green-11
8361,-73.929794,40.678562,green-11
8362,-73.929255,40.679087,green-11
8363,-73.929211,40.679129,green-11
8364,-73.929135,40.679203,green-11
8365,-73.929058,40.679277,green-11
8366,-73.928972,40.679362,green-11
8367,-73.928832,40.679492,green-11
8368,-73.928753,40.679592,green-11
8369,-73.928679,40.679699,green-11
8370,-73.928651,40.679749,green-11
8371,-73.928592,40.679897,green-11
8372,-73.928555,40.68005,green-11
8373,-73.928538,40.680206,green-11
8374,-73.928543,40.680354,green-11
8375,-73.928557,40.680437,green-11
8376,-73.928568,40.680507,green-11
8377,-73.928584,40.680581,green-11
8378,-73.928712,40.681167,green-11
8379,-73.928727,40.681237,green-11
8380,-73.928741,40.681308,green-11
8381,-73.928854,40.681903,green-11
8382,-73.928867,40.68197,green-11
8383,-73.928783,40.68198,green-11
8384,-73.926046,40.682299,green-11
8385,-73.92595,40.68231,green-11
