,lon,lat,properties
22519,-73.968218,40.67945,purple-6
22520,-73.968229,40.67942,purple-6
22521,-73.968373,40.679447,purple-6
22522,-73.970391,40.67987,purple-6
22523,-73.971311,40.680062,purple-6
22524,-73.971403,40.680082,purple-6
22525,-73.971378,40.680149,purple-6
22526,-73.971142,40.680787,purple-6
22527,-73.971119,40.68085,purple-6
22528,-73.971094,40.680921,purple-6
22529,-73.970918,40.681419,purple-6
22530,-73.970918,40.681419,purple-6
22531,-73.970871,40.681553,purple-6
22532,-73.970847,40.681619,purple-6
22533,-73.970818,40.681698,purple-6
22534,-73.970812,40.681715,purple-6
22535,-73.970781,40.681801,purple-6
22536,-73.97062,40.682244,purple-6
22537,-73.970615,40.682259,purple-6
22538,-73.970653,40.682359,purple-6
22539,-73.97072,40.682508,purple-6
22540,-73.970833,40.682532,purple-6
22541,-73.971269,40.682624,purple-6
22542,-73.971697,40.682712,purple-6
22543,-73.971809,40.682733999999996,purple-6
22544,-73.971918,40.682757,purple-6
22545,-73.972358,40.682848,purple-6
22546,-73.972787,40.682937,purple-6
22547,-73.97295,40.682972,purple-6
22548,-73.973683,40.683125,purple-6
22549,-73.97379,40.683148,purple-6
22550,-73.973937,40.683179,purple-6
22551,-73.974284,40.68325,purple-6
22552,-73.974418,40.683274,purple-6
22553,-73.974561,40.683298,purple-6
22554,-73.974705,40.683322,purple-6
22555,-73.974842,40.683347,purple-6
22556,-73.974983,40.683376,purple-6
22557,-73.975839,40.683555,purple-6
22558,-73.975883,40.683564,purple-6
22559,-73.975952,40.68358,purple-6
22560,-73.976086,40.683614,purple-6
22561,-73.976198,40.683648,purple-6
22562,-73.976377,40.683686,purple-6
22563,-73.976377,40.683686,purple-6
22564,-73.976377,40.683686,purple-6
22565,-73.976663,40.683748,purple-6
22566,-73.976268,40.683536,purple-6
22567,-73.976196,40.683512,purple-6
22568,-73.976128,40.683493,purple-6
22569,-73.976066,40.683476,purple-6
22570,-73.976002,40.683461,purple-6
22571,-73.975952,40.68358,purple-6
22572,-73.97593,40.683641,purple-6
22573,-73.975918,40.683669,purple-6
22574,-73.975913,40.683692,purple-6
22575,-73.975912,40.683715,purple-6
22576,-73.975913,40.683743,purple-6
22577,-73.976011,40.684282,purple-6
22578,-73.976018,40.684322,purple-6
22579,-73.976106,40.684794,purple-6
22580,-73.976106,40.684794,purple-6
22581,-73.976185,40.685217,purple-6
22582,-73.976199,40.685299,purple-6
22583,-73.976117,40.685308,purple-6
22584,-73.975337,40.685396,purple-6
22585,-73.975248,40.685406,purple-6
22586,-73.975151,40.685417,purple-6
22587,-73.974724,40.685467,purple-6
22588,-73.974374,40.685504,purple-6
22589,-73.974281,40.685506,purple-6
22590,-73.974299,40.6856,purple-6
22591,-73.974425,40.686203,purple-6
22592,-73.974446,40.686309,purple-6
22593,-73.974547,40.686349,purple-6
22594,-73.975369,40.686678,purple-6
22595,-73.975413,40.686695,purple-6
22596,-73.975499,40.68673,purple-6
22597,-73.975569,40.686757,purple-6
22598,-73.975843,40.686868,purple-6
22599,-73.976092,40.686969,purple-6
22600,-73.976231,40.687025,purple-6
22601,-73.976401,40.687093,purple-6
22602,-73.976538,40.687149,purple-6
22603,-73.976617,40.687181,purple-6
22604,-73.976609,40.687273,purple-6
22605,-73.977088,40.689709,purple-6
22606,-73.977101,40.689776,purple-6
22607,-73.977192,40.68978,purple-6
22608,-73.97731,40.689785,purple-6
22609,-73.977309,40.689855,purple-6
22610,-73.977308,40.68994,purple-6
22611,-73.977304,40.690031,purple-6
22612,-73.977308,40.68994,purple-6
22613,-73.977309,40.689855,purple-6
22614,-73.97731,40.689785,purple-6
22615,-73.977939,40.689809,purple-6
22616,-73.978064,40.689814,purple-6
22617,-73.978139,40.689817,purple-6
22618,-73.978519,40.689829,purple-6
22619,-73.978625,40.689833,purple-6
22620,-73.978716,40.689835,purple-6
22621,-73.97951,40.689862,purple-6
22622,-73.9795,40.689793,purple-6
22623,-73.979444,40.689388,purple-6
22624,-73.979355,40.688752,purple-6
22625,-73.979355,40.688752,purple-6
22626,-73.979301,40.688363,purple-6
22627,-73.979289,40.688249,purple-6
22628,-73.979186,40.688208,purple-6
22629,-73.97857,40.687962,purple-6
22630,-73.978455,40.687916,purple-6
22631,-73.978325,40.687865,purple-6
22632,-73.978338,40.687975,purple-6
22633,-73.97857,40.689608,purple-6
22634,-73.978588,40.689683,purple-6
22635,-73.978588,40.689683,purple-6
22636,-73.978588,40.689683,purple-6
22637,-73.978588,40.689683,purple-6
22638,-73.978608,40.68977,purple-6
22639,-73.978625,40.689833,purple-6
22640,-73.978647,40.689911,purple-6
22641,-73.97866,40.689957,purple-6
22642,-73.978676,40.690031,purple-6
22643,-73.978735,40.690446,purple-6
22644,-73.978748,40.690534,purple-6
22645,-73.978841,40.691182,purple-6
22646,-73.978716,40.691193,purple-6
22647,-73.978085,40.691253,purple-6
22648,-73.978024,40.691259,purple-6
22649,-73.977949,40.691278,purple-6
22650,-73.977914,40.691288,purple-6
22651,-73.977727,40.691302,purple-6
22652,-73.977706,40.69131,purple-6
22653,-73.977689,40.691327,purple-6
22654,-73.977689,40.691327,purple-6
22655,-73.977689,40.691327,purple-6
22656,-73.977689,40.691327,purple-6
22657,-73.977689,40.691327,purple-6
22658,-73.977706,40.69131,purple-6
22659,-73.977727,40.691302,purple-6
22660,-73.977914,40.691288,purple-6
22661,-73.977949,40.691278,purple-6
22662,-73.978024,40.691259,purple-6
22663,-73.978085,40.691253,purple-6
22664,-73.978716,40.691193,purple-6
22665,-73.978841,40.691182,purple-6
22666,-73.978939,40.69186,purple-6
22667,-73.978947,40.691921,purple-6
22668,-73.978823,40.691916,purple-6
22669,-73.978524,40.691905,purple-6
22670,-73.97813,40.691889,purple-6
22671,-73.977695,40.691873,purple-6
22672,-73.977636,40.691871,purple-6
22673,-73.977538,40.691883,purple-6
22674,-73.977544,40.691962,purple-6
22675,-73.977692,40.692741,purple-6
22676,-73.97772,40.692883,purple-6
22677,-73.97772,40.692883,purple-6
22678,-73.977789,40.693238,purple-6
22679,-73.977812,40.693372,purple-6
22680,-73.977825,40.693439,purple-6
22681,-73.977924,40.693442,purple-6
22682,-73.97842,40.693462,purple-6
22683,-73.979038,40.693487,purple-6
22684,-73.979162,40.693492,purple-6
22685,-73.979196,40.693583,purple-6
22686,-73.97924,40.693707,purple-6
22687,-73.979337,40.693875,purple-6
22688,-73.979567,40.694067,purple-6
22689,-73.979993,40.694423,purple-6
22690,-73.980013,40.694439,purple-6
22691,-73.980088,40.694586,purple-6
22692,-73.980157,40.694796,purple-6
22693,-73.980176,40.694923,purple-6
22694,-73.980176,40.694923,purple-6
22695,-73.980176,40.694923,purple-6
22696,-73.980176,40.694923,purple-6
22697,-73.980176,40.694923,purple-6
22698,-73.980176,40.694923,purple-6
22699,-73.980176,40.694923,purple-6
22700,-73.980176,40.694923,purple-6
22701,-73.980176,40.694923,purple-6
22702,-73.98023,40.695296,purple-6
22703,-73.980298,40.695753,purple-6
22704,-73.980322,40.695953,purple-6
22705,-73.980352,40.696117,purple-6
22706,-73.980364,40.696184,purple-6
22707,-73.98039,40.696484,purple-6
22708,-73.980498,40.696484,purple-6
22709,-73.980537,40.69648,purple-6
22710,-73.980637,40.69647,purple-6
22711,-73.980939,40.696405,purple-6
22712,-73.981413,40.696228,purple-6
22713,-73.981909,40.696057,purple-6
22714,-73.982039,40.696026,purple-6
